league_avg,home_adv,rho,min_training_matches,matches,accuracy_1x2,accuracy_ou25,log_loss_1x2,log_loss_ou25,score
1.05,1.04,-0.04,300,2514,0.5787589498806682,0.5513126491646778,0.9100080800188632,0.7102787570294539,0.8500892831220404
1.15,1.0,0.0,300,2514,0.5819411296738266,0.5620525059665871,0.9126890027058339,0.7043491763312552,0.8501870547934602
1.15,1.0,-0.04,300,2514,0.5803500397772474,0.5620525059665871,0.912885269814643,0.7043491763312552,0.8503244417696266
1.05,1.04,-0.08,300,2514,0.5791567223548131,0.5513126491646778,0.910446593252915,0.7102787570294539,0.8503962423858766
1.15,1.0,-0.08,300,2514,0.5795544948289578,0.5620525059665871,0.9134933464627092,0.7043491763312552,0.850750095423273
1.05,1.04,-0.12,300,2514,0.5779634049323786,0.5513126491646778,0.9112818520500974,0.710278757029454,0.8509809235439043
1.15,1.0,-0.12,300,2514,0.5775656324582339,0.5620525059665871,0.914503362687608,0.7043491763312552,0.8514571067807021
1.05,1.0,0.0,300,2514,0.5799522673031027,0.5620525059665871,0.9148832090872429,0.7081358745894333,0.8528590087378999
1.05,1.0,-0.04,300,2514,0.5783611774065235,0.5620525059665871,0.9150851783773419,0.7081358745894333,0.8530003872409693
1.05,1.0,-0.08,300,2514,0.5771678599840891,0.5620525059665871,0.9156997393209686,0.7081358745894333,0.853430579901508
1.05,1.0,-0.12,300,2514,0.5759745425616547,0.5620525059665871,0.9167174755527853,0.7081358745894333,0.8541429952637796
1.35,1.12,0.0,100,2714,0.5744288872512896,0.5420044215180545,0.9155860002267455,0.7201963412458469,0.8569691025324758
1.35,1.12,-0.04,100,2714,0.5740604274134119,0.5420044215180545,0.9157429307232391,0.720196341245847,0.8570789538800214
1.35,1.12,-0.08,100,2714,0.5744288872512896,0.5420044215180545,0.9162916121728688,0.720196341245847,0.8574630308947622
1.35,1.12,-0.12,100,2714,0.5736919675755343,0.5420044215180545,0.9172217276597826,0.7201963412458469,0.8581141117356018
1.35,1.08,0.0,100,2714,0.5725865880619012,0.5467943994104643,0.9190592482862154,0.717499459710501,0.8585913117135011
1.35,1.08,-0.04,100,2714,0.5733235077376566,0.5467943994104643,0.9193526566049413,0.717499459710501,0.8587966975366091
1.35,1.08,-0.08,100,2714,0.5733235077376566,0.5467943994104643,0.9200428704229034,0.717499459710501,0.8592798472091827
1.25,1.12,0.0,100,2714,0.5725865880619012,0.5420044215180545,0.9182482691584231,0.7236275986199,0.859862067996866
1.25,1.12,-0.04,100,2714,0.5729550478997789,0.5420044215180545,0.9184421691771864,0.7236275986198999,0.8599977980100004
1.35,1.08,-0.12,100,2714,0.5725865880619012,0.5467943994104643,0.921119806330612,0.717499459710501,0.8600337023445787
1.25,1.12,-0.08,100,2714,0.5725865880619012,0.5420044215180545,0.9190301934358601,0.7236275986198999,0.860409414991072
1.35,1.04,0.0,100,2714,0.5703758290346352,0.5478997789240972,0.9231474256551248,0.7153158478797135,0.8607979523225013
1.25,1.12,-0.12,100,2714,0.5725865880619012,0.5420044215180545,0.920002641867434,0.7236275986199,0.8610901288931737
1.35,1.04,-0.04,100,2714,0.5703758290346352,0.5478997789240972,0.9235911645161851,0.7153158478797135,0.8611085695252436
1.25,1.08,0.0,100,2714,0.5718496683861459,0.5467943994104643,0.9216899278088834,0.7209714947836944,0.8614743979013266
1.35,1.04,-0.08,100,2714,0.5700073691967575,0.5478997789240972,0.9244369516590137,0.7153158478797135,0.8617006205252237
1.25,1.08,-0.04,100,2714,0.5722181282240236,0.5467943994104643,0.9220202277834008,0.7209714947836944,0.8617056078834888
1.25,1.08,-0.08,100,2714,0.5714812085482682,0.5467943994104643,0.9227496920479941,0.7209714947836943,0.8622162328687041
1.35,1.04,-0.12,100,2714,0.5692704495210023,0.5478997789240972,0.9256750176656022,0.7153158478797135,0.8625672667298356
1.25,1.08,-0.12,100,2714,0.5718496683861459,0.5467943994104643,0.9238688771988339,0.7209714947836944,0.8629996624742919
1.15,1.12,0.0,100,2714,0.5714812085482682,0.5412675018422992,0.9212647651764758,0.7282470625079432,0.863359454375916
1.15,1.12,-0.04,100,2714,0.5714812085482682,0.5412675018422992,0.9214860875993452,0.7282470625079431,0.8635143800719245
1.35,1.0,0.0,100,2714,0.5718496683861459,0.5585851142225498,0.9278840982106107,0.7137740754112949,0.863651091370816
1.25,1.04,0.0,100,2714,0.5703758290346352,0.5486366985998526,0.9257973607223098,0.7189025475581089,0.8637289167730495
1.15,1.12,-0.08,100,2714,0.5714812085482682,0.5412675018422992,0.9221035550844103,0.7282470625079431,0.8639466073114701
1.25,1.04,-0.04,100,2714,0.5696389093588798,0.5486366985998526,0.9262777727381207,0.7189025475581089,0.8640652051841172
1.35,1.0,-0.04,100,2714,0.5711127487103905,0.5585851142225498,0.9284932394455078,0.7137740754112949,0.8640774902352439
1.15,1.12,-0.12,100,2714,0.5722181282240236,0.5412675018422992,0.9231081795865969,0.7282470625079431,0.8646498444630006
1.25,1.04,-0.08,100,2714,0.5700073691967575,0.5486366985998526,0.9271625751850232,0.7189025475581089,0.864684566896949
1.35,1.0,-0.08,100,2714,0.5696389093588798,0.5585851142225498,0.9295098740724966,0.7137740754112949,0.8647891344741361
1.15,1.08,0.0,100,2714,0.5700073691967575,0.5467943994104643,0.924657450311088,0.725547501380063,0.8649244656317805
1.15,1.08,-0.04,100,2714,0.5700073691967575,0.5467943994104643,0.9250145261641576,0.725547501380063,0.8651744187289292
1.25,1.04,-0.12,100,2714,0.5692704495210023,0.5486366985998526,0.9284426633597369,0.7189025475581089,0.8655806286192484
1.15,1.08,-0.08,100,2714,0.5700073691967575,0.5467943994104643,0.9257728225154973,0.7255475013800632,0.865705226174867
1.35,1.0,-0.12,100,2714,0.5677966101694916,0.5585851142225498,0.9309246353209898,0.7137740754112949,0.8657794673480813
1.15,1.08,-0.12,100,2714,0.5703758290346352,0.5467943994104643,0.9269236301348404,0.725547501380063,0.8665107915084072
1.25,1.0,0.0,100,2714,0.5711127487103905,0.5589535740604274,0.9305418550469313,0.7173663888075585,0.8665892151751194
1.05,1.12,0.0,100,2714,0.5703758290346352,0.5394252026529108,0.9241111264616636,0.7334725477123221,0.8669195528368611
1.25,1.0,-0.04,100,2714,0.5707442888725129,0.5589535740604274,0.9311872935894087,0.7173663888075585,0.8670410221548536
1.05,1.12,-0.04,100,2714,0.5703758290346352,0.5394252026529108,0.9243496222285217,0.7334725477123221,0.8670864998736617
1.15,1.04,0.0,100,2714,0.5696389093588798,0.5497420781134856,0.9287218073425686,0.7234429156825894,0.8671381398445748
1.15,1.04,-0.04,100,2714,0.5696389093588798,0.5497420781134856,0.9292281835376529,0.7234429156825894,0.8674926031811339
1.05,1.12,-0.08,100,2714,0.5700073691967575,0.5394252026529108,0.9249854744883346,0.7334725477123221,0.8675315964555308
1.25,1.0,-0.08,100,2714,0.5700073691967575,0.5589535740604274,0.9322425692519055,0.7173663888075585,0.8677797151186013
1.15,1.04,-0.08,100,2714,0.5692704495210023,0.5497420781134856,0.9301410491849845,0.7234429156825894,0.868131609134266
1.05,1.12,-0.12,100,2714,0.5714812085482682,0.5394252026529108,0.9260103525560736,0.7334725477123221,0.868249011102948
1.05,1.08,0.0,100,2714,0.5689019896831246,0.5486366985998526,0.9274572003291839,0.730733497308655,0.8684400894230252
1.05,1.08,-0.04,100,2714,0.5689019896831246,0.5486366985998526,0.9278304769275231,0.7307334973086549,0.8687013830418626
1.25,1.0,-0.12,100,2714,0.5670596904937362,0.5589535740604274,0.9336990099594572,0.7173663888075585,0.8687992236138875
1.15,1.04,-0.12,100,2714,0.5689019896831246,0.5497420781134856,0.9314520576195013,0.7234429156825894,0.8690493150384277
1.05,1.08,-0.08,100,2714,0.5692704495210023,0.5486366985998526,0.9286062311615451,0.730733497308655,0.8692444110056781
1.15,1.0,0.0,100,2714,0.5703758290346352,0.558216654384672,0.9334690221838925,0.7219280860563801,0.8700067413456387
1.05,1.08,-0.12,100,2714,0.5696389093588798,0.5486366985998526,0.9297764150161938,0.730733497308655,0.8700635397039321
1.15,1.0,-0.04,100,2714,0.5689019896831246,0.558216654384672,0.9341395466887725,0.7219280860563801,0.8704761084990548
1.05,1.04,0.0,100,2714,0.5674281503316139,0.5478997789240972,0.9314353727619871,0.7285697865192701,0.8705756968891719
1.05,1.04,-0.04,100,2714,0.5670596904937362,0.5478997789240972,0.931957081200072,0.7285697865192701,0.8709408927958314
1.15,1.0,-0.08,100,2714,0.5681650700073692,0.558216654384672,0.9352220509450326,0.7219280860563801,0.8712338614784368
1.05,1.04,-0.08,100,2714,0.5674281503316139,0.5478997789240972,0.9328865898103694,0.7285697865192701,0.8715915488230396
1.15,1.0,-0.12,100,2714,0.5652173913043478,0.558216654384672,0.9367086465219538,0.7219280860563801,0.8722744783822817
1.05,1.04,-0.12,100,2714,0.5663227708179809,0.5478997789240972,0.9342162175346636,0.7285697865192702,0.8725222882300455
1.05,1.0,0.0,100,2714,0.5681650700073692,0.5574797347089168,0.9360823763699898,0.727039112320365,0.8733693971551023
1.05,1.0,-0.04,100,2714,0.5666912306558585,0.5574797347089168,0.9367665709609866,0.727039112320365,0.8738483333688001
1.05,1.0,-0.08,100,2714,0.5659543109801032,0.5574797347089168,0.9378639704253505,0.727039112320365,0.8746165129938548
1.05,1.0,-0.12,100,2714,0.5633750921149595,0.5574797347089168,0.9393673031859282,0.727039112320365,0.8756688459262592
