code,name,industry,in_watch,watch_subtype,final_subtype,d1_first_seal,d1_breaks,d1_amount_yi,open,prev_close,close,high,low,pct,amount_yi,intraday_from_low_pct,fade_from_high_pct,bucket,ts
002931,锋龙股份,通用设备,False,,,100806,0,4.90216496,58.59,59.64,65.6,65.6,58.29,9.993293091884636,12.4676202444,12.540744553096573,0.0,涨停/近涨停,2026-06-08 15:00:00
603500,祥和实业,轨交设备,False,,,093001,0,1.4037789,13.0,12.23,13.45,13.45,12.94,9.97547015535567,7.50367581,3.9412673879443583,0.0,涨停/近涨停,2026-06-08 15:00:03
600293,三峡新材,玻璃玻纤,False,,,101633,1,2.74666352,3.88,3.96,4.13,4.36,3.82,4.292929292929282,14.40299063,8.115183246073299,-5.275229357798173,中涨2~5,2026-06-08 15:00:01
000520,凤凰航运,航运港口,True,radar,radar,100506,1,2.69719328,4.8,4.6,4.76,5.0,4.47,3.4782608695652195,7.999243271,6.487695749440725,-4.800000000000004,中涨2~5,2026-06-08 15:00:00
605398,新炬网络,IT服务Ⅱ,False,,,093059,1,1.34794977,23.98,24.45,24.86,25.64,23.98,1.67689161554192,1.55104774,3.669724770642202,-3.0421216848673938,小涨0~2,2026-06-08 15:00:00
002491,通鼎互联,通信设备,False,,,141154,0,57.89024512,22.36,24.82,25.1,26.68,22.36,1.1281224818694646,62.0321594637,12.254025044722727,-5.922038980509736,小涨0~2,2026-06-08 15:00:00
002971,和远气体,化学制品,True,active,exclude,100530,0,5.66818672,38.9,39.3,39.63,41.17,38.11,0.8396946564885654,10.6832082108,3.9884544738913785,-3.7405878066553266,小涨0~2,2026-06-08 15:00:00
002645,华宏科技,环保设备,False,,,112939,1,25.18684224,30.0,31.17,31.43,33.63,29.95,0.8341353865896739,32.0772183447,4.941569282136893,-6.541778174249191,小涨0~2,2026-06-08 15:00:00
601666,平煤股份,煤炭开采,False,,,110940,1,9.81805104,9.35,9.67,9.75,10.15,9.34,0.8273009307135482,9.83918737,4.3897216274090045,-3.9408866995073955,小涨0~2,2026-06-08 15:00:01
002520,日发精机,通用设备,False,,,105700,0,3.19313152,6.17,6.35,6.4,6.49,6.15,0.7874015748031704,4.8305676662,4.065040650406493,-1.3867488443759624,小涨0~2,2026-06-08 15:00:00
002981,朝阳科技,消费电子,True,radar,radar,143330,0,4.65348368,28.08,27.99,28.11,28.42,27.6,0.4287245444801746,3.422851408,1.8478260869565055,-1.0907811400422296,小涨0~2,2026-06-08 15:00:00
002733,雄韬股份,电池,True,radar,radar,110330,0,7.32245808,33.85,33.96,33.57,34.86,32.43,-1.14840989399293,11.334666002899999,3.51526364477337,-3.7005163511187544,小跌-2~0,2026-06-08 15:00:00
